

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.007  000.007: --- VIM STARTING ---
000.092  000.085: Allocated generic buffers
001.533  001.441: locale set
001.564  000.031: GUI prepared
001.568  000.004: clipboard setup
001.578  000.010: window checked
002.174  000.596: inits 1
002.549  000.375: parsing arguments
010.594  008.045: expanding arguments
015.589  004.995: shell init
017.023  001.434: Termcap init
017.074  000.051: inits 2
021.793  004.719: init highlight
022.317  000.194  000.194: sourcing $VIM/vimrc
024.330  000.216  000.216: sourcing /usr/local/Cellar/macvim/7.4-76/MacVim.app/Contents/Resources/vim/runtime/ftoff.vim
026.416  000.299  000.299: sourcing /Users/alex/.vim/bundle/Vundle.vim/autoload/vundle.vim
027.646  000.544  000.544: sourcing /Users/alex/.vim/bundle/Vundle.vim/autoload/vundle/config.vim
078.967  000.131  000.131: sourcing /Users/alex/.vim/bundle/neosnippet/ftdetect/neosnippet.vim
079.672  000.102  000.102: sourcing /Users/alex/.vim/bundle/ultisnips/ftdetect/snippets.vim
080.052  000.121  000.121: sourcing /Users/alex/.vim/bundle/ultisnips/ftdetect/UltiSnips.vim
081.909  001.266  001.266: sourcing /Users/alex/.vim/bundle/vim-ruby/ftdetect/ruby.vim
082.801  000.223  000.223: sourcing /Users/alex/.vim/bundle/vim-haml/ftdetect/haml.vim
083.706  000.235  000.235: sourcing /Users/alex/.vim/bundle/vim-javascript/ftdetect/javascript.vim
084.554  000.295  000.295: sourcing /Users/alex/.vim/bundle/vim-coffee-script/ftdetect/coffee.vim
085.332  000.148  000.148: sourcing /Users/alex/.vim/bundle/vim-json/ftdetect/json.vim
086.246  000.301  000.301: sourcing /Users/alex/.vim/bundle/vim-mustache-handlebars/ftdetect/mustache.vim
087.055  000.221  000.221: sourcing /Users/alex/.vim/bundle/vim-clojure-static/ftdetect/clojure.vim
087.957  000.119  000.119: sourcing /Users/alex/.vim/bundle/scss-syntax.vim/ftdetect/scss.vim
089.027  000.093  000.093: sourcing /Users/alex/.vim/bundle/vim-slim/ftdetect/slim.vim
089.728  000.097  000.097: sourcing /Users/alex/.vim/bundle/Markdown/ftdetect/markdown.vim
090.751  040.039  036.687: sourcing /usr/local/Cellar/macvim/7.4-76/MacVim.app/Contents/Resources/vim/runtime/filetype.vim
091.985  000.096  000.096: sourcing /usr/local/Cellar/macvim/7.4-76/MacVim.app/Contents/Resources/vim/runtime/ftplugin.vim
093.126  000.082  000.082: sourcing /usr/local/Cellar/macvim/7.4-76/MacVim.app/Contents/Resources/vim/runtime/indent.vim
094.309  000.022  000.022: sourcing /usr/local/Cellar/macvim/7.4-76/MacVim.app/Contents/Resources/vim/runtime/filetype.vim
095.077  000.014  000.014: sourcing /usr/local/Cellar/macvim/7.4-76/MacVim.app/Contents/Resources/vim/runtime/ftplugin.vim
095.828  000.013  000.013: sourcing /usr/local/Cellar/macvim/7.4-76/MacVim.app/Contents/Resources/vim/runtime/indent.vim
147.847  000.416  000.416: sourcing /usr/local/Cellar/macvim/7.4-76/MacVim.app/Contents/Resources/vim/runtime/syntax/syncolor.vim
148.689  002.054  001.638: sourcing /usr/local/Cellar/macvim/7.4-76/MacVim.app/Contents/Resources/vim/runtime/syntax/synload.vim
148.740  002.970  000.916: sourcing /usr/local/Cellar/macvim/7.4-76/MacVim.app/Contents/Resources/vim/runtime/syntax/syntax.vim
150.077  000.364  000.364: sourcing /usr/local/Cellar/macvim/7.4-76/MacVim.app/Contents/Resources/vim/runtime/syntax/syncolor.vim
173.296  000.337  000.337: sourcing /usr/local/Cellar/macvim/7.4-76/MacVim.app/Contents/Resources/vim/runtime/syntax/syncolor.vim
175.543  000.303  000.303: sourcing /usr/local/Cellar/macvim/7.4-76/MacVim.app/Contents/Resources/vim/runtime/syntax/syncolor.vim
184.989  033.778  033.138: sourcing /Users/alex/.vim/bundle/base16-vim/colors/base16-twilight.vim
186.647  163.775  086.338: sourcing $HOME/.vimrc
186.662  000.900: sourcing vimrc file(s)
188.084  000.164  000.164: sourcing /Users/alex/.vim/plugin/BufOnly.vim
259.863  070.028  070.028: sourcing /Users/alex/.vim/bundle/editorconfig-vim/plugin/editorconfig.vim
261.096  000.069  000.069: sourcing /Users/alex/.vim/bundle/vim-misc/autoload/xolox/misc.vim
264.907  000.613  000.613: sourcing /Users/alex/.vim/bundle/vim-misc/autoload/xolox/misc/os.vim
265.806  001.899  001.286: sourcing /Users/alex/.vim/bundle/vim-misc/autoload/xolox/misc/path.vim
266.638  004.982  003.083: sourcing /Users/alex/.vim/bundle/vim-notes/autoload/xolox/notes.vim
268.444  007.772  002.721: sourcing /Users/alex/.vim/bundle/vim-notes/plugin/notes.vim
269.346  000.092  000.092: sourcing /Users/alex/.vim/bundle/vim-misc/plugin/xolox/misc.vim
271.250  001.296  001.296: sourcing /Users/alex/.vim/bundle/vitality.vim/plugin/vitality.vim
272.339  000.153  000.153: sourcing /Users/alex/.vim/bundle/ag.vim/plugin/ag.vim
274.040  000.445  000.445: sourcing /Users/alex/.vim/bundle/ctrlp.vim/autoload/ctrlp/mrufiles.vim
274.541  001.493  001.048: sourcing /Users/alex/.vim/bundle/ctrlp.vim/plugin/ctrlp.vim
276.505  000.508  000.508: sourcing /Users/alex/.vim/bundle/nerdtree/autoload/nerdtree.vim
279.296  001.115  001.115: sourcing /Users/alex/.vim/bundle/nerdtree/lib/nerdtree/path.vim
280.231  000.562  000.562: sourcing /Users/alex/.vim/bundle/nerdtree/lib/nerdtree/menu_controller.vim
280.818  000.168  000.168: sourcing /Users/alex/.vim/bundle/nerdtree/lib/nerdtree/menu_item.vim
281.642  000.491  000.491: sourcing /Users/alex/.vim/bundle/nerdtree/lib/nerdtree/key_map.vim
282.578  000.632  000.632: sourcing /Users/alex/.vim/bundle/nerdtree/lib/nerdtree/bookmark.vim
283.655  000.751  000.751: sourcing /Users/alex/.vim/bundle/nerdtree/lib/nerdtree/tree_file_node.vim
284.874  000.896  000.896: sourcing /Users/alex/.vim/bundle/nerdtree/lib/nerdtree/tree_dir_node.vim
285.807  000.638  000.638: sourcing /Users/alex/.vim/bundle/nerdtree/lib/nerdtree/opener.vim
286.634  000.531  000.531: sourcing /Users/alex/.vim/bundle/nerdtree/lib/nerdtree/creator.vim
287.098  000.132  000.132: sourcing /Users/alex/.vim/bundle/nerdtree/lib/nerdtree/flag_set.vim
287.613  000.220  000.220: sourcing /Users/alex/.vim/bundle/nerdtree/lib/nerdtree/nerdtree.vim
288.720  000.801  000.801: sourcing /Users/alex/.vim/bundle/nerdtree/lib/nerdtree/ui.vim
289.160  000.085  000.085: sourcing /Users/alex/.vim/bundle/nerdtree/lib/nerdtree/event.vim
289.629  000.131  000.131: sourcing /Users/alex/.vim/bundle/nerdtree/lib/nerdtree/notifier.vim
291.069  001.092  001.092: sourcing /Users/alex/.vim/bundle/nerdtree/autoload/nerdtree/ui_glue.vim
314.397  000.183  000.183: sourcing /Users/alex/.vim/bundle/nerdtree/nerdtree_plugin/exec_menuitem.vim
315.769  001.046  001.046: sourcing /Users/alex/.vim/bundle/nerdtree/nerdtree_plugin/fs_menu.vim
317.817  001.432  001.432: sourcing /Users/alex/.vim/bundle/vim-nerdtree-tabs/nerdtree_plugin/vim-nerdtree-tabs.vim
319.954  044.805  033.391: sourcing /Users/alex/.vim/bundle/nerdtree/plugin/NERD_tree.vim
321.289  000.603  000.603: sourcing /Users/alex/.vim/bundle/vim-easy-align/plugin/easy_align.vim
321.975  000.058  000.058: sourcing /Users/alex/.vim/bundle/tmuxline.vim/plugin/tmuxline.vim
323.669  000.557  000.557: sourcing /Users/alex/.vim/bundle/vim-airline/autoload/airline.vim
324.799  000.423  000.423: sourcing /Users/alex/.vim/bundle/vim-airline/autoload/airline/init.vim
325.818  000.203  000.203: sourcing /Users/alex/.vim/bundle/vim-airline/autoload/airline/parts.vim
326.517  003.913  002.730: sourcing /Users/alex/.vim/bundle/vim-airline/plugin/airline.vim
328.562  000.983  000.983: sourcing /Users/alex/.vim/bundle/vim-better-whitespace/plugin/better-whitespace.vim
332.624  003.434  003.434: sourcing /Users/alex/.vim/bundle/vim-bundler/plugin/bundler.vim
333.690  000.412  000.412: sourcing /Users/alex/.vim/bundle/vim-commentary/plugin/commentary.vim
338.542  004.228  004.228: sourcing /Users/alex/.vim/bundle/vim-unimpaired/plugin/unimpaired.vim
349.991  010.519  010.519: sourcing /Users/alex/.vim/bundle/vim-fugitive/plugin/fugitive.vim
352.221  001.485  001.485: sourcing /Users/alex/.vim/bundle/vim-surround/plugin/surround.vim
353.007  000.210  000.210: sourcing /Users/alex/.vim/bundle/vim-jdaddy/plugin/jdaddy.vim
354.921  001.315  001.315: sourcing /Users/alex/.vim/bundle/matchit.zip/plugin/matchit.vim
355.870  000.153  000.153: sourcing /Users/alex/.vim/bundle/MatchTagAlways/plugin/MatchTagAlways.vim
358.141  001.634  001.634: sourcing /Users/alex/.vim/bundle/tagbar/plugin/tagbar.vim
360.320  000.464  000.464: sourcing /Users/alex/.vim/bundle/vim-gitgutter/autoload/gitgutter/highlight.vim
361.781  002.926  002.462: sourcing /Users/alex/.vim/bundle/vim-gitgutter/plugin/gitgutter.vim
363.544  000.613  000.613: sourcing /Users/alex/.vim/bundle/vim-indent-guides/autoload/indent_guides.vim
364.050  001.643  001.030: sourcing /Users/alex/.vim/bundle/vim-indent-guides/plugin/indent_guides.vim
365.447  000.527  000.527: sourcing /Users/alex/.vim/bundle/vim-multiple-cursors/plugin/multiple_cursors.vim
367.557  000.736  000.736: sourcing /Users/alex/.vim/bundle/vim-expand-region/autoload/expand_region.vim
367.734  001.439  000.703: sourcing /Users/alex/.vim/bundle/vim-expand-region/plugin/expand_region.vim
369.281  000.950  000.950: sourcing /Users/alex/.vim/bundle/auto-pairs/plugin/auto-pairs.vim
370.006  000.133  000.133: sourcing /Users/alex/.vim/bundle/tabline.vim/plugin/tabline.vim
370.699  000.103  000.103: sourcing /Users/alex/.vim/bundle/funcoo.vim/plugin/funcoo.vim
387.147  000.203  000.203: sourcing /Users/alex/.vim/bundle/dash.vim/autoload/dash/defaults.vim
387.720  001.466  001.263: sourcing /Users/alex/.vim/bundle/dash.vim/autoload/dash.vim
388.541  017.247  015.781: sourcing /Users/alex/.vim/bundle/dash.vim/plugin/dash.vim
389.483  000.131  000.131: sourcing /Users/alex/.vim/bundle/gundo.vim/plugin/gundo.vim
391.104  000.988  000.988: sourcing /Users/alex/.vim/bundle/vim-exchange/plugin/exchange.vim
391.841  000.112  000.112: sourcing /Users/alex/.vim/bundle/vim-qargs/plugin/qargs.vim
392.635  000.178  000.178: sourcing /Users/alex/.vim/bundle/vim-visual-star-search/plugin/visual-star-search.vim
394.669  001.446  001.446: sourcing /Users/alex/.vim/bundle/vim-abolish/plugin/abolish.vim
395.758  000.262  000.262: sourcing /Users/alex/.vim/bundle/neocomplcache.vim/plugin/neocomplcache/buffer_complete.vim
396.245  000.138  000.138: sourcing /Users/alex/.vim/bundle/neocomplcache.vim/plugin/neocomplcache/dictionary_complete.vim
396.655  000.145  000.145: sourcing /Users/alex/.vim/bundle/neocomplcache.vim/plugin/neocomplcache/include_complete.vim
397.087  000.144  000.144: sourcing /Users/alex/.vim/bundle/neocomplcache.vim/plugin/neocomplcache/syntax_complete.vim
397.485  000.132  000.132: sourcing /Users/alex/.vim/bundle/neocomplcache.vim/plugin/neocomplcache/tags_complete.vim
398.770  001.047  001.047: sourcing /Users/alex/.vim/bundle/neocomplcache.vim/plugin/neocomplcache.vim
399.898  000.465  000.465: sourcing /Users/alex/.vim/bundle/neosnippet/plugin/neosnippet.vim
400.952  000.093  000.093: sourcing /Users/alex/.vim/bundle/ultisnips/plugin/snipMate_compatibility.vim
403.053  000.226  000.226: sourcing /Users/alex/.vim/bundle/ultisnips/autoload/UltiSnips/bootstrap.vim
486.473  084.265  084.039: sourcing /Users/alex/.vim/bundle/ultisnips/autoload/UltiSnips/map_keys.vim
486.696  085.486  001.221: sourcing /Users/alex/.vim/bundle/ultisnips/plugin/UltiSnips.vim
497.952  010.789  010.789: sourcing /Users/alex/.vim/bundle/vim-easymotion/plugin/EasyMotion.vim
503.112  004.616  004.616: sourcing /Users/alex/.vim/bundle/vim-rails/plugin/rails.vim
507.789  004.242  004.242: sourcing /Users/alex/.vim/bundle/vim-rspec/plugin/rspec.vim
